51	58	disease	http://purl.obolibrary.org/obo/DOID_4
85	106	hypercholesterolaemia	http://purl.obolibrary.org/obo/DOID_2487
44	66	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
39	69	hypokalemic periodic paralysis	http://purl.obolibrary.org/obo/DOID_14452
84	106	malignant hyperthermia	http://purl.obolibrary.org/obo/DOID_8545
56	62	cancer	http://purl.obolibrary.org/obo/DOID_162
78	86	syndrome	http://purl.obolibrary.org/obo/DOID_225
45	53	syndrome	http://purl.obolibrary.org/obo/DOID_225
96	116	central core disease	http://purl.obolibrary.org/obo/DOID_3529
109	116	disease	http://purl.obolibrary.org/obo/DOID_4
120	139	congenital myopathy	http://purl.obolibrary.org/obo/DOID_0080100
131	139	myopathy	http://purl.obolibrary.org/obo/DOID_423
110	130	central core disease	http://purl.obolibrary.org/obo/DOID_3529
123	130	disease	http://purl.obolibrary.org/obo/DOID_4
116	124	syndrome	http://purl.obolibrary.org/obo/DOID_225
56	109	catecholaminergic polymorphic ventricular tachycardia	http://purl.obolibrary.org/obo/DOID_0060674
178	186	syndrome	http://purl.obolibrary.org/obo/DOID_225
137	145	syndrome	http://purl.obolibrary.org/obo/DOID_225
7	15	syndrome	http://purl.obolibrary.org/obo/DOID_225
91	99	syndrome	http://purl.obolibrary.org/obo/DOID_225
118	139	ataxia telangiectasia	http://purl.obolibrary.org/obo/DOID_12704
7	15	syndrome	http://purl.obolibrary.org/obo/DOID_225
122	130	syndrome	http://purl.obolibrary.org/obo/DOID_225
91	99	syndrome	http://purl.obolibrary.org/obo/DOID_225
114	122	syndrome	http://purl.obolibrary.org/obo/DOID_225
15	23	syndrome	http://purl.obolibrary.org/obo/DOID_225
24	32	syndrome	http://purl.obolibrary.org/obo/DOID_225
27	37	dyskinesia	http://purl.obolibrary.org/obo/DOID_306
77	84	disease	http://purl.obolibrary.org/obo/DOID_4
161	169	epilepsy	http://purl.obolibrary.org/obo/DOID_1826
171	179	migraine	http://purl.obolibrary.org/obo/DOID_6364
40	50	dyskinesia	http://purl.obolibrary.org/obo/DOID_306
85	138	catecholaminergic polymorphic ventricular tachycardia	http://purl.obolibrary.org/obo/DOID_0060674
115	129	cardiac arrest	http://purl.obolibrary.org/obo/DOID_0060319
228	236	syndrome	http://purl.obolibrary.org/obo/DOID_225
89	96	disease	http://purl.obolibrary.org/obo/DOID_4
125	132	disease	http://purl.obolibrary.org/obo/DOID_4
266	273	disease	http://purl.obolibrary.org/obo/DOID_4
166	172	cancer	http://purl.obolibrary.org/obo/DOID_162
215	221	cancer	http://purl.obolibrary.org/obo/DOID_162
62	68	cancer	http://purl.obolibrary.org/obo/DOID_162
